name,link_id,osm_way_id,from_node_id,to_node_id,from_node_osm_id,to_node_osm_id,allowed_uses,electrified,frequency,highspeed,maxspeed,maxspeed_designed,passenger_lines,railway_ctcs,railway_traffic_mode,start_date,usage,voltage,gauge,service,length,geometry
UP Phoenix Subdivision,41,28885335,42,134,1497998027,7590687546,railway,no,,,,,,,,,,,1435,,157.3200811,"LINESTRING(-111.9435793 33.4269438, -111.9435719 33.425529)"
UP Phoenix Subdivision,42,28885335,134,35,7590687546,317498437,railway,no,,,,,,,,,,,1435,,9.184775957,"LINESTRING(-111.9435719 33.425529, -111.9435715 33.4254464)"
UP Phoenix Subdivision,43,28885335,35,104,317498437,2300341861,railway,no,,,,,,,,,,,1435,,74.87020373,"LINESTRING(-111.9435715 33.4254464, -111.9435783 33.4247731)"
UP Phoenix Subdivision,44,28885335,104,11,2300341861,42556572,railway,no,,,,,,,,,,,1435,,74.35604976,"LINESTRING(-111.9435783 33.4247731, -111.9435785 33.4241044)"
UP Phoenix Subdivision,45,28885335,11,100,42556572,2300341857,railway,no,,,,,,,,,,,1435,,79.13033495,"LINESTRING(-111.9435785 33.4241044, -111.9435699 33.4233928)"
UP Phoenix Subdivision,46,28885335,100,98,2300341857,2300341855,railway,no,,,,,,,,,,,1435,,46.79083341,"LINESTRING(-111.9435699 33.4233928, -111.9435696 33.422972)"
UP Phoenix Subdivision,47,28885335,98,96,2300341855,2300341853,railway,no,,,,,,,,,,,1435,,22.05107889,"LINESTRING(-111.9435696 33.422972, -111.943572 33.4227737)"
UP Phoenix Subdivision,48,28885335,96,95,2300341853,2300341852,railway,no,,,,,,,,,,,1435,,35.32665867,"LINESTRING(-111.943572 33.4227737, -111.9435725 33.422456)"
UP Phoenix Subdivision,49,28885335,95,124,2300341852,6149033501,railway,no,,,,,,,,,,,1435,,46.00158082,"LINESTRING(-111.9435725 33.422456, -111.9435709 33.4220423)"
UP Phoenix Subdivision,50,28885335,124,12,6149033501,42556577,railway,no,,,,,,,,,,,1435,,10.91937729,"LINESTRING(-111.9435709 33.4220423, -111.9435706 33.4219441)"
UP Phoenix Subdivision,51,28885335,12,125,42556577,6149033508,railway,no,,,,,,,,,,,1435,,10.10763587,"LINESTRING(-111.9435706 33.4219441, -111.9435704 33.4218532)"
UP Phoenix Subdivision,52,28885335,125,13,6149033508,42556581,railway,no,,,,,,,,,,,1435,,162.0666377,"LINESTRING(-111.9435704 33.4218532, -111.9435693 33.4203957)"
UP Phoenix Subdivision,53,28885335,13,114,42556581,3847453687,railway,no,,,,,,,,,,,1435,,158.3309133,"LINESTRING(-111.9435693 33.4203957, -111.9435652 33.4189718)"
UP Phoenix Subdivision,54,28885335,114,94,3847453687,2300341821,railway,no,,,,,,,,,,,1435,,365.2429307,"LINESTRING(-111.9435652 33.4189718, -111.9435562 33.4156871)"
UP Phoenix Subdivision,55,28885336,10,48,42556548,1497998055,railway,,,,,,,,,,,,,,61.69801759,"LINESTRING(-111.9440792 33.4351511, -111.9440083 33.4345994)"
UP Phoenix Subdivision,56,28885336,48,47,1497998055,1497998053,railway,,,,,,,,,,,,,,64.55515821,"LINESTRING(-111.9440083 33.4345994, -111.9439418 33.4340215)"
UP Phoenix Subdivision,57,28885336,47,46,1497998053,1497998048,railway,,,,,,,,,,,,,,128.2518612,"LINESTRING(-111.9439418 33.4340215, -111.9438172 33.4328728)"
UP Phoenix Subdivision,58,28885336,46,37,1497998048,317498559,railway,,,,,,,,,,,,,,229.902233,"LINESTRING(-111.9438172 33.4328728, -111.9436185 33.4308119)"
UP Phoenix Subdivision,59,170847494,5,112,42556227,3458373526,railway,no,,,,,,,,,,,1435,,1224.225108,"LINESTRING(-111.9093042 33.4110411, -111.9224933 33.4109709)"
UP Phoenix Subdivision,60,170847494,112,0,3458373526,41573972,railway,no,,,,,,,,,,,1435,,352.7557077,"LINESTRING(-111.9224933 33.4109709, -111.9262937 33.4109526)"
UP Phoenix Subdivision,61,170847494,0,79,41573972,2300341694,railway,no,,,,,,,,,,,1435,,199.636772,"LINESTRING(-111.9262937 33.4109526, -111.9284445 33.410946)"
UP Phoenix Subdivision,62,170847494,79,121,2300341694,5341183672,railway,no,,,,,,,,,,,1435,,205.4252887,"LINESTRING(-111.9284445 33.410946, -111.9306575 33.4109226)"
UP Phoenix Subdivision,63,170847494,121,77,5341183672,2300341692,railway,no,,,,,,,,,,,1435,,189.3140575,"LINESTRING(-111.9306575 33.4109226, -111.9326971 33.4109212)"
UP Phoenix Subdivision,64,170847494,77,122,2300341692,5341183673,railway,no,,,,,,,,,,,1435,,207.3309791,"LINESTRING(-111.9326971 33.4109212, -111.9349308 33.4109161)"
UP Phoenix Subdivision,65,170847494,122,76,5341183673,2300341691,railway,no,,,,,,,,,,,1435,,210.015523,"LINESTRING(-111.9349308 33.4109161, -111.9371934 33.4109063)"
UP Phoenix Subdivision,66,170847494,76,75,2300341691,2300341690,railway,no,,,,,,,,,,,1435,,110.0705111,"LINESTRING(-111.9371934 33.4109063, -111.9383792 33.4108964)"
UP Phoenix Subdivision,67,170847494,75,6,2300341690,42556268,railway,no,,,,,,,,,,,1435,,67.91637189,"LINESTRING(-111.9383792 33.4108964, -111.9391108 33.4109068)"
UP Phoenix Subdivision,68,170847494,6,78,42556268,2300341693,railway,no,,,,,,,,,,,1435,,30.18478284,"LINESTRING(-111.9391108 33.4109068, -111.9394341 33.4109361)"
UP Phoenix Subdivision,69,170847494,78,18,2300341693,316007381,railway,no,,,,,,,,,,,1435,,26.21569539,"LINESTRING(-111.9394341 33.4109361, -111.9397133 33.4109717)"
,70,220970275,95,97,2300341852,2300341854,railway,,,,,,,,,,,,,siding,36.73237488,"LINESTRING(-111.9435725 33.422456, -111.9436107 33.4227848)"
,71,220970275,97,99,2300341854,2300341856,railway,,,,,,,,,,,,,siding,20.8398077,"LINESTRING(-111.9436107 33.4227848, -111.9436215 33.422972)"
,72,220970275,99,101,2300341856,2300341858,railway,,,,,,,,,,,,,siding,48.35884814,"LINESTRING(-111.9436215 33.422972, -111.9436229 33.4234069)"
,73,220970275,101,102,2300341858,2300341859,railway,,,,,,,,,,,,,siding,78.5704278,"LINESTRING(-111.9436229 33.4234069, -111.9436242 33.4241135)"
,74,220970275,102,103,2300341859,2300341860,railway,,,,,,,,,,,,,siding,71.78831086,"LINESTRING(-111.9436242 33.4241135, -111.9436204 33.4247591)"
,75,220970275,103,105,2300341860,2300341863,railway,,,,,,,,,,,,,siding,76.23720799,"LINESTRING(-111.9436204 33.4247591, -111.9436145 33.4254447)"
,76,220970275,105,133,2300341863,7590687545,railway,,,,,,,,,,,,,siding,9.373847165,"LINESTRING(-111.9436145 33.4254447, -111.943615 33.425529)"
,77,220970275,133,106,7590687545,2300341867,railway,,,,,,,,,,,,,siding,157.7653807,"LINESTRING(-111.943615 33.425529, -111.9436236 33.4269478)"
,78,220970275,106,107,2300341867,2300341868,railway,,,,,,,,,,,,,siding,139.2939291,"LINESTRING(-111.9436236 33.4269478, -111.9436248 33.4282005)"
,79,220970275,107,109,2300341868,2300341870,railway,,,,,,,,,,,,,siding,28.62211722,"LINESTRING(-111.9436248 33.4282005, -111.9436229 33.4284579)"
,80,220970275,109,110,2300341870,2300341871,railway,,,,,,,,,,,,,siding,17.79372162,"LINESTRING(-111.9436229 33.4284579, -111.943606 33.4286173)"
,81,220970275,110,43,2300341871,1497998030,railway,,,,,,,,,,,,,siding,28.72736804,"LINESTRING(-111.943606 33.4286173, -111.9435781 33.4288746)"
Tempe Industrial Lead (Kyrene),82,361579120,94,92,2300341821,2300341818,railway,,,,,,,,,,,,,,35.62213153,"LINESTRING(-111.9435562 33.4156871, -111.943594 33.4153683)"
Tempe Industrial Lead (Kyrene),83,361579120,92,91,2300341818,2300341816,railway,,,,,,,,,,,,,,40.13232693,"LINESTRING(-111.943594 33.4153683, -111.9435984 33.4150074)"
Tempe Industrial Lead (Kyrene),84,361579120,91,14,2300341816,42556591,railway,,,,,,,,,,,,,,31.78499438,"LINESTRING(-111.9435984 33.4150074, -111.9435841 33.4147218)"
Tempe Industrial Lead (Kyrene),85,361579120,14,87,42556591,2300341712,railway,,,,,,,,,,,,,,24.7868528,"LINESTRING(-111.9435841 33.4147218, -111.9435643 33.4144995)"
Tempe Industrial Lead (Kyrene),86,361579120,87,120,2300341712,4181518694,railway,,,,,,,,,,,,,,8.507958646,"LINESTRING(-111.9435643 33.4144995, -111.9435593 33.4144231)"
Tempe Industrial Lead (Kyrene),87,361579120,120,118,4181518694,4181518689,railway,,,,,,,,,,,,,,7.720995895,"LINESTRING(-111.9435593 33.4144231, -111.9435566 33.4143537)"
Tempe Industrial Lead (Kyrene),88,361579120,118,85,4181518689,2300341708,railway,,,,,,,,,,,,,,14.04514601,"LINESTRING(-111.9435566 33.4143537, -111.9435546 33.4142274)"
Tempe Industrial Lead (Kyrene),89,361579120,85,15,2300341708,42556597,railway,,,,,,,,,,,,,,29.67792737,"LINESTRING(-111.9435546 33.4142274, -111.9435545 33.4139605)"
Tempe Industrial Lead (Kyrene),90,361579120,15,81,42556597,2300341702,railway,,,,,,,,,,,,,,81.63933414,"LINESTRING(-111.9435545 33.4139605, -111.9435539 33.4132263)"
Tempe Industrial Lead (Kyrene),91,361579120,81,80,2300341702,2300341701,railway,,,,,,,,,,,,,,28.13261655,"LINESTRING(-111.9435539 33.4132263, -111.9435553 33.4129733)"
Tempe Industrial Lead (Kyrene),92,361579120,80,39,2300341701,338045466,railway,,,,,,,,,,,,,,28.26831197,"LINESTRING(-111.9435553 33.4129733, -111.9435512 33.4127191)"
Tempe Industrial Lead (Kyrene),93,361579120,39,74,338045466,2300341687,railway,,,,,,,,,,,,,,305.9086871,"LINESTRING(-111.9435512 33.4127191, -111.9435464 33.409968)"
Tempe Industrial Lead (Kyrene),94,361579120,74,73,2300341687,2300341682,railway,,,,,,,,,,,,,,150.7470263,"LINESTRING(-111.9435464 33.409968, -111.9435449 33.4086123)"
Tempe Industrial Lead (Kyrene),95,361579120,73,16,2300341682,42556602,railway,,,,,,,,,,,,,,132.2694298,"LINESTRING(-111.9435449 33.4086123, -111.9435352 33.4074228)"
Tempe Industrial Lead (Kyrene),96,361579120,16,132,42556602,7264896172,railway,,,,,,,,,,,,,,10.90847506,"LINESTRING(-111.9435352 33.4074228, -111.9435344 33.4073247)"
Tempe Industrial Lead (Kyrene),97,361579120,132,113,7264896172,3721846227,railway,,,,,,,,,,,,,,801.6266993,"LINESTRING(-111.9435344 33.4073247, -111.9435278 33.4001155)"
Tempe Industrial Lead (Kyrene),98,361579120,113,72,3721846227,2300341535,railway,,,,,,,,,,,,,,139.4053049,"LINESTRING(-111.9435278 33.4001155, -111.9435251 33.3988618)"
Tempe Industrial Lead (Kyrene),99,361579120,72,71,2300341535,2300341523,railway,,,,,,,,,,,,,,113.2632896,"LINESTRING(-111.9435251 33.3988618, -111.9435232 33.3978432)"
Tempe Industrial Lead (Kyrene),100,361579120,71,70,2300341523,2300341449,railway,,,,,,,,,,,,,,92.28161519,"LINESTRING(-111.9435232 33.3978432, -111.9435187 33.3970133)"
Tempe Industrial Lead (Kyrene),101,361579120,70,69,2300341449,2300341445,railway,,,,,,,,,,,,,,30.90138387,"LINESTRING(-111.9435187 33.3970133, -111.9435202 33.3967354)"
Tempe Industrial Lead (Kyrene),102,361579120,69,68,2300341445,2300341443,railway,,,,,,,,,,,,,,19.8599021,"LINESTRING(-111.9435202 33.3967354, -111.9435217 33.3965568)"
Tempe Industrial Lead (Kyrene),103,361579120,68,67,2300341443,2300341439,railway,,,,,,,,,,,,,,16.10693626,"LINESTRING(-111.9435217 33.3965568, -111.943517 33.396412)"
Tempe Industrial Lead (Kyrene),104,361579120,67,29,2300341439,317454154,railway,,,,,,,,,,,,,,56.38711925,"LINESTRING(-111.943517 33.396412, -111.9435155 33.3959049)"
Tempe Industrial Lead (Kyrene),105,361579120,29,17,317454154,42556613,railway,,,,,,,,,,,,,,155.3068394,"LINESTRING(-111.9435155 33.3959049, -111.9434947 33.3945083)"
