name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,4151,544156328,1385,1387,1,16.01245672,,,0,service,7,"LINESTRING (-111.9239274 33.4232082, -111.9239262 33.4233522)",bike;walk,1
,4152,544156328,1385,1384,1,16.4239338,,,0,service,7,"LINESTRING (-111.9239274 33.4232082, -111.9239287 33.4230605)",bike;walk,1
,4153,544156328,1384,1385,1,16.4239338,,,0,service,7,"LINESTRING (-111.9239287 33.4230605, -111.9239274 33.4232082)",bike;walk,1
,4154,544156330,1385,1386,1,75.59980539,,,0,service,7,"LINESTRING (-111.9239274 33.4232082, -111.9231128 33.4232081)",bike;walk,1
,4155,544156330,1386,1385,1,75.59980539,,,0,service,7,"LINESTRING (-111.9231128 33.4232081, -111.9239274 33.4232082)",bike;walk,1
,4156,544156332,1387,1388,1,75.48831207,,,0,service,7,"LINESTRING (-111.9239262 33.4233522, -111.9231128 33.4233522)",bike;walk,1
,4157,544156332,1388,1387,1,75.48831207,,,0,service,7,"LINESTRING (-111.9231128 33.4233522, -111.9239262 33.4233522)",bike;walk,1
,4158,544156334,1389,1390,1,75.37680799,,,0,service,7,"LINESTRING (-111.9239249 33.4235109, -111.9231127 33.423511)",bike;walk,1
,4159,544156334,1390,1389,1,75.37680799,,,0,service,7,"LINESTRING (-111.9231127 33.423511, -111.9239249 33.4235109)",bike;walk,1
,4160,544161286,1391,1392,1,60.41293321,,,0,service,7,"LINESTRING (-111.9311016 33.4193141, -111.9317525 33.4193089)",bike;walk,1
,4161,544161286,1392,1391,1,60.41293321,,,0,service,7,"LINESTRING (-111.9317525 33.4193089, -111.9311016 33.4193141)",bike;walk,1
,4162,544161286,1392,1762,1,97.61274197,,,0,service,7,"LINESTRING (-111.9317525 33.4193089, -111.931741 33.4184311)",bike;walk,1
,4163,544161286,1762,1392,1,97.61274197,,,0,service,7,"LINESTRING (-111.931741 33.4184311, -111.9317525 33.4193089)",bike;walk,1
,4164,544161286,1762,1393,1,8.329017125,,,0,service,7,"LINESTRING (-111.931741 33.4184311, -111.93174 33.4183562)",bike;walk,1
,4165,544161286,1393,1762,1,8.329017125,,,0,service,7,"LINESTRING (-111.93174 33.4183562, -111.931741 33.4184311)",bike;walk,1
,4166,544161287,1394,1710,1,106.5771999,,,0,footway,9,"LINESTRING (-111.9301011 33.4190439, -111.9289529 33.4190584)",walk,0
,4167,544161287,1710,1395,1,7.87111422,,,0,footway,9,"LINESTRING (-111.9289529 33.4190584, -111.9288681 33.4190594)",walk,0
,4168,544161288,1716,1717,1,5.527330777,,,0,footway,9,"LINESTRING (-111.9310822 33.4184712, -111.9310833 33.4185209)",walk,0
,4169,544161288,1717,2328,1,19.31812626,,,0,footway,9,"LINESTRING (-111.9310833 33.4185209, -111.9310873 33.4186946)",walk,0
,4170,544161288,2328,1722,1,26.21361478,,,0,footway,9,"LINESTRING (-111.9310873 33.4186946, -111.9310928 33.4189303)",walk,0
,4171,544161288,1722,2324,1,1.545860249,,,0,footway,9,"LINESTRING (-111.9310928 33.4189303, -111.9310931 33.4189442)",walk,0
,4172,544161288,2324,2327,1,19.79635446,,,0,footway,9,"LINESTRING (-111.9310931 33.4189442, -111.9310972 33.4191222)",walk,0
,4173,544161288,2327,2321,1,9.842501484,,,0,footway,9,"LINESTRING (-111.9310972 33.4191222, -111.9310992 33.4192107)",walk,0
,4174,544161288,2321,1391,1,11.49971285,,,0,footway,9,"LINESTRING (-111.9310992 33.4192107, -111.9311016 33.4193141)",walk,0
,4175,544161288,1391,1398,1,30.67261608,,,0,footway,9,"LINESTRING (-111.9311016 33.4193141, -111.9311076 33.4195899)",walk,0
,4176,544161288,1398,1397,1,77.64009931,,,0,footway,9,"LINESTRING (-111.9311076 33.4195899, -111.931124 33.420288)",walk,0
,4177,544161289,1398,1399,1,91.53575069,,,0,footway,9,"LINESTRING (-111.9311076 33.4195899, -111.9301214 33.4195998)",walk,0
,4178,544161290,4030,2585,1,46.14892664,,,0,service,7,"LINESTRING (-111.9302007 33.4218068, -111.930195 33.4213918)",bike;walk,1
,4179,544161290,2585,4030,1,46.14892664,,,0,service,7,"LINESTRING (-111.930195 33.4213918, -111.9302007 33.4218068)",bike;walk,1
,4180,544161290,2585,222,1,9.341277513,,,0,service,7,"LINESTRING (-111.930195 33.4213918, -111.9301964 33.4213078)",bike;walk,1
,4181,544161290,222,2585,1,9.341277513,,,0,service,7,"LINESTRING (-111.9301964 33.4213078, -111.930195 33.4213918)",bike;walk,1
,4182,544161293,1400,1760,1,9.641891168,,,0,service,7,"LINESTRING (-111.9328931 33.4183363, -111.9328948 33.418423)",bike;walk,1
,4183,544161293,1760,1400,1,9.641891168,,,0,service,7,"LINESTRING (-111.9328948 33.418423, -111.9328931 33.4183363)",bike;walk,1
,4184,544161293,1760,1402,1,52.14584378,,,0,service,7,"LINESTRING (-111.9328948 33.418423, -111.9329037 33.4188919)",bike;walk,1
,4185,544161293,1402,1760,1,52.14584378,,,0,service,7,"LINESTRING (-111.9329037 33.4188919, -111.9328948 33.418423)",bike;walk,1
,4186,544161293,1402,1401,1,202.3156013,,,0,service,7,"LINESTRING (-111.9329037 33.4188919, -111.932912 33.4193232, -111.9340466 33.419321, -111.934045 33.4188799)",bike;walk,1
,4187,544161293,1401,1402,1,202.3156013,,,0,service,7,"LINESTRING (-111.934045 33.4188799, -111.9340466 33.419321, -111.932912 33.4193232, -111.9329037 33.4188919)",bike;walk,1
,4188,544161294,1401,1402,1,105.9332166,,,0,service,7,"LINESTRING (-111.934045 33.4188799, -111.9329037 33.4188919)",bike;walk,1
,4189,544161294,1402,1401,1,105.9332166,,,0,service,7,"LINESTRING (-111.9329037 33.4188919, -111.934045 33.4188799)",bike;walk,1
,4190,544161295,1403,1404,1,111.0884857,,,0,footway,9,"LINESTRING (-111.9366368 33.4186141, -111.9355212 33.4186177, -111.9354724 33.418672)",walk,0
,4191,544161295,1404,1405,1,14.79492534,,,0,footway,9,"LINESTRING (-111.9354724 33.418672, -111.93557 33.4187772)",walk,0
,4192,544161295,1405,1406,1,97.57266667,,,0,footway,9,"LINESTRING (-111.93557 33.4187772, -111.9366213 33.4187739)",walk,0
,4193,544161296,632,630,1,8.863457442,,,0,footway,9,"LINESTRING (-111.9354571 33.4187782, -111.9355526 33.4187784)",walk,0
,4194,544161296,630,1405,1,1.620410793,,,0,footway,9,"LINESTRING (-111.9355526 33.4187784, -111.93557 33.4187772)",walk,0
,4195,544161297,1404,1407,1,37.54390953,,,0,footway,9,"LINESTRING (-111.9354724 33.418672, -111.9350679 33.4186754)",walk,0
,4196,544161298,1408,1409,1,49.70612303,,,0,footway,9,"LINESTRING (-111.9348587 33.4202894, -111.9349199 33.420408, -111.9348583 33.4207217)",walk,0
,4197,544161298,1409,1698,1,28.5606695,,,0,footway,9,"LINESTRING (-111.9348583 33.4207217, -111.9349896 33.420954)",walk,0
,4198,544161298,1698,1410,1,11.01466245,,,0,footway,9,"LINESTRING (-111.9349896 33.420954, -111.9350612 33.421033)",walk,0
,4199,544161298,1410,1411,1,21.42386382,,,0,footway,9,"LINESTRING (-111.9350612 33.421033, -111.9350177 33.4210965, -111.9349566 33.4210979, -111.9349014 33.4211486)",walk,0
,4200,544161298,1411,1694,1,33.07405918,,,0,footway,9,"LINESTRING (-111.9349014 33.4211486, -111.9348954 33.421446)",walk,0
,4201,544161298,1694,1412,1,24.77774958,,,0,footway,9,"LINESTRING (-111.9348954 33.421446, -111.9348909 33.4216688)",walk,0
,4202,544161298,1412,1413,1,8.80846064,,,0,footway,9,"LINESTRING (-111.9348909 33.4216688, -111.9349858 33.4216676)",walk,0
,4203,544161299,1414,1415,1,52.13019684,,,0,service,7,"LINESTRING (-111.9344007 33.4202766, -111.9343972 33.42063, -111.9342915 33.4207044)",bike;walk,1
