link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
12046,Kendal Close,297646337,3778,7047,1,"LINESTRING (-0.106777 51.4792266, -0.1068323 51.4792971, -0.1069361 51.4793608, -0.107279 51.4795052)",1,47.48,residential,6,32,,,auto,
12047,Kendal Close,297646337,3778,7046,1,"LINESTRING (-0.106777 51.4792266, -0.1064683 51.4790558, -0.1061978 51.4789217, -0.1058776 51.4788027, -0.1054976 51.4786896, -0.1052373 51.4786279, -0.1049875 51.4785772, -0.1048659 51.4785332, -0.1047696 51.4784088)",1,170.11,residential,6,32,,,auto,
12048,Kendal Close,297646337,7047,3778,1,"LINESTRING (-0.107279 51.4795052, -0.1069361 51.4793608, -0.1068323 51.4792971, -0.106777 51.4792266)",1,47.48,residential,6,32,,,auto,
12049,Baylis Road,297935699,7048,7049,1,"LINESTRING (-0.1113507 51.5000054, -0.1111295 51.5002495)",1,31.16,secondary,4,32,,,auto,
12050,Baylis Road,297935699,7049,7048,1,"LINESTRING (-0.1111295 51.5002495, -0.1113507 51.5000054)",1,31.16,secondary,4,32,,,auto,
12051,Peckham High Street,298071600,7018,7050,1,"LINESTRING (-0.0645613 51.4739218, -0.0650248 51.4739073)",1,32.14,trunk,2,32,2,,auto,
12052,Peckham High Street,298071602,4041,6491,1,"LINESTRING (-0.0687225 51.4739141, -0.0687185 51.4739349, -0.0687013 51.4740269)",1,12.63,secondary,4,32,,,auto,
12053,Peckham High Street,298071603,6193,5576,1,"LINESTRING (-0.0685188 51.4738165, -0.0687181 51.4737855, -0.0689 51.473765)",1,27.03,trunk,2,32,2,,auto,
12054,Peckham High Street,298071604,2648,6490,1,"LINESTRING (-0.0685444 51.4740393, -0.0684944 51.47403, -0.068416 51.4740153, -0.0682876 51.4739913, -0.0681012 51.4739755)",1,31.60,secondary,4,32,,,auto,
12055,Peckham High Street,298071605,7051,818,1,"LINESTRING (-0.065282 51.4738993, -0.06536 51.4738987, -0.0654244 51.4738983, -0.0655791 51.4738972)",1,20.58,trunk,2,32,2,,auto,
12056,Peckham High Street,298071606,7052,2679,1,"LINESTRING (-0.065732 51.4740108, -0.0656725 51.4740106, -0.0656355 51.4740097, -0.0654508 51.4740053)",1,19.49,trunk,2,32,2,,auto,
12057,Peckham High Street,298071606,5579,7052,1,"LINESTRING (-0.0658948 51.4740068, -0.065732 51.4740108)",1,11.28,trunk,2,32,2,,auto,
12058,Southampton Way,298143536,7053,3201,1,"LINESTRING (-0.0864938 51.4788162, -0.0865642 51.4788404, -0.0866416 51.478872)",1,11.98,secondary,4,32,,,auto,
12059,Southampton Way,298143536,3201,7053,1,"LINESTRING (-0.0866416 51.478872, -0.0865642 51.4788404, -0.0864938 51.4788162)",1,11.98,secondary,4,32,,,auto,
12060,Battersea Park Road,298308436,7054,1369,1,"LINESTRING (-0.1393544 51.4803163, -0.139416 51.480265, -0.1394501 51.4802429, -0.1394848 51.4802209, -0.139618 51.4801565)",1,25.64,trunk,2,32,3,,auto,
12061,Battersea Park Road,298308436,7055,7054,1,"LINESTRING (-0.1385005 51.4809133, -0.1388569 51.4806624, -0.1390491 51.4805271, -0.1393544 51.4803163)",1,88.90,trunk,2,32,3,,auto,
12062,Larkhall Lane,299851436,7056,7057,1,"LINESTRING (-0.1298419 51.4717443, -0.1297667 51.4718027, -0.1297329 51.471829)",1,12.07,residential,6,32,,,auto,
12063,Larkhall Lane,299851436,7057,7056,1,"LINESTRING (-0.1297329 51.471829, -0.1297667 51.4718027, -0.1298419 51.4717443)",1,12.07,residential,6,32,,,auto,
12064,Larkhall Rise,299851437,7058,7059,1,"LINESTRING (-0.1332306 51.4698154, -0.1331074 51.4698918)",1,12.04,residential,6,32,,,auto,
12065,Larkhall Rise,299851437,7059,7058,1,"LINESTRING (-0.1331074 51.4698918, -0.1332306 51.4698154)",1,12.04,residential,6,32,,,auto,
12066,Vauxhall Grove,300862025,7060,6795,1,"LINESTRING (-0.1202313 51.4852468, -0.1201012 51.4853706, -0.1200583 51.4854084)",1,21.60,unclassified,20,32,1,,auto,
12067,Vauxhall Grove,300862025,6795,7060,1,"LINESTRING (-0.1200583 51.4854084, -0.1201012 51.4853706, -0.1202313 51.4852468)",1,21.60,unclassified,20,32,1,,auto,
