name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,398,25472169,,-0.1126777,51.4970165,,,,,
,399,25472694,,-0.1025565,51.5064194,,,,,
,400,4972951608,,-0.1024148,51.5077753,,,,,
,401,25472687,,-0.1018101,51.5078333,,,,,
,402,319322395,,-0.1017394,51.5079624,,,,,
,403,364262,,-0.1149394,51.4963380,,,,,
,404,1156344170,,-0.1150569,51.4963790,,,,,
,405,25472333,,-0.1023253,51.5058733,,,,,
,406,6281736657,,-0.1019540,51.5058946,,,,,
,407,25497870,,-0.0956545,51.5023890,,,,,
,408,900611389,,-0.0960426,51.5020165,,,,,
,409,25473412,,-0.0945676,51.5039183,,,,,
,410,3134099063,,-0.0943397,51.5042256,,,,,
,411,25473402,,-0.1150312,51.4982277,,,,,
,412,1844769505,,-0.1149644,51.4982127,,,,,
,413,25473422,,-0.1138047,51.4974333,,,,,
,414,25473451,,-0.1142295,51.4976105,,,,,
,415,12239371,,-0.0901325,51.5027350,,,,,
,416,3895290392,,-0.0904995,51.5028206,,,,,
,417,4160285711,,-0.0912546,51.5030660,,,,,
,418,25472858,,-0.0890798,51.5024085,,,,,
,419,25472871,,-0.0896269,51.5019998,,,,,
,420,25473483,,-0.0869737,51.5047773,,,,,
London Bridge Station,421,2862779711,,-0.0875715,51.5050919,,,,,
,422,7797745734,signal,-0.0870345,51.5042550,,,,,
,423,7982777188,signal,-0.0891830,51.5051144,,,,,
,424,12238097,,-0.0894365,51.5052133,,,,,
,425,247957483,,-0.0864278,51.5039960,,,,,
,426,25473559,,-0.0927340,51.5071190,,,,,
,427,4972970389,,-0.0926207,51.5071038,,,,,
,428,25468831,,-0.0980942,51.5067219,,,,,
,429,20955462,,-0.0976257,51.5070914,,,,,
,430,20955466,,-0.0965020,51.5072932,,,,,
,431,107750,,-0.1170257,51.4989418,,,,,
,432,5973556490,,-0.1168538,51.4989021,,,,,
,433,109840,,-0.1164485,51.4988359,,,,,
,434,22240627,,-0.1162553,51.4993136,,,,,
,435,25475603,,-0.1053425,51.5035992,,,,,
,436,25475612,,-0.1064868,51.5045112,,,,,
,437,12354837,,-0.1063586,51.5033622,,,,,
,438,25475626,,-0.1066061,51.5041157,,,,,
,439,25475825,,-0.1101231,51.5036653,,,,,
,440,25475824,,-0.1087246,51.5038922,,,,,
,441,25475822,,-0.1083695,51.5031742,,,,,
,442,25475831,,-0.1071551,51.5034908,,,,,
,443,914264960,,-0.1077418,51.5045113,,,,,
,444,3134026769,,-0.1077276,51.5044813,,,,,
,445,24923212,,-0.1070546,51.5025842,,,,,
,446,24923326,,-0.1074134,51.5030267,,,,,
,447,24923186,,-0.1067347,51.5022051,,,,,
,448,25496067,,-0.1053733,51.5025194,,,,,
,449,4099667494,,-0.1088504,51.5019820,,,,,
,450,24923324,,-0.1045808,51.5017380,,,,,
,451,24923307,,-0.1061144,51.5017047,,,,,
,452,24923325,,-0.1066868,51.5012241,,,,,
,453,25476318,,-0.1060123,51.5018492,,,,,
,454,25496662,,-0.1025071,51.5036395,,,,,
,455,25496664,,-0.1028234,51.5031852,,,,,
,456,2547407954,signal,-0.1115691,51.4966743,,,,,
,457,1237005046,,-0.1117008,51.4969616,,,,,
,458,7926974720,,-0.1117528,51.4970953,,,,,
,459,364267,,-0.1114522,51.4964688,,,,,
,460,25496830,,-0.0982323,51.5028110,,,,,
,461,25496831,,-0.0982064,51.5030499,,,,,
,462,25496766,,-0.0989643,51.5028184,,,,,
,463,25496796,,-0.0990133,51.5023224,,,,,
,464,25496795,,-0.0989359,51.5030632,,,,,
,465,24923169,,-0.1011796,51.5022625,,,,,
,466,25496763,,-0.1012872,51.5027809,,,,,
,467,12238103,,-0.1002834,51.5066115,,,,,
,468,3759956543,,-0.1006184,51.5063361,,,,,
,469,25497229,,-0.0986975,51.5039874,,,,,
,470,3134099061,,-0.0987035,51.5040132,,,,,
,471,2072686035,,-0.0972421,51.5051605,,,,,
,472,109743,,-0.0978905,51.5065955,,,,,
,473,25497228,,-0.0988400,51.5044116,,,,,
,474,25497227,,-0.0986574,51.5037125,,,,,
,475,5219107182,,-0.0986727,51.5038325,,,,,
,476,9085246831,,-0.1014817,51.5025419,,,,,
,477,9085246834,,-0.1043140,51.5022439,,,,,
,478,108856,,-0.0912593,51.5054806,,,,,
,479,963509435,,-0.0923247,51.5054114,,,,,
,480,25497629,,-0.0930633,51.5074676,,,,,
,481,25340334,,-0.0680789,51.4644951,,,,,
,482,29622238,,-0.0671661,51.4647198,,,,,
,483,29622279,,-0.0670641,51.4647485,,,,,
,484,8898463429,signal,-0.0659306,51.4666747,,,,,
,485,21580877,,-0.0658955,51.4668274,,,,,
,486,21580861,,-0.0659760,51.4664193,,,,,
,487,1155202074,,-0.0948912,51.5013541,,,,,
,488,25497835,,-0.0948705,51.5013866,,,,,
,489,364300,,-0.0951621,51.5010375,,,,,
,490,25497837,,-0.0946929,51.5017263,,,,,
,491,25498252,,-0.0960234,51.5003957,,,,,
,492,534944978,,-0.0968080,51.5009288,,,,,
,493,364294,,-0.0965439,51.5013655,,,,,
,494,25498271,,-0.0971840,51.5004137,,,,,
,495,762400076,,-0.0970130,51.5006323,,,,,
,496,6414466333,,-0.0978769,51.5016894,,,,,
,497,364292,,-0.0979669,51.5017129,,,,,
,498,25498453,,-0.0973867,51.5015658,,,,,
,499,25498446,,-0.0964482,51.5016540,,,,,
,500,25498699,,-0.0983434,51.5007879,,,,,
,501,25498700,,-0.0976976,51.5016426,,,,,
,502,2621444666,,-0.1298074,51.4993303,,,,,
,503,2621444668,,-0.1298606,51.4993837,,,,,
,504,1155200706,,-0.0943759,51.5010259,,,,,
,505,25498692,,-0.0992054,51.5011679,,,,,
,506,25498980,,-0.0981981,51.5017737,,,,,
,507,1827316597,,-0.1022498,51.5007907,,,,,
,508,1827316593,,-0.1026873,51.5007932,,,,,
,509,1827316595,,-0.1038410,51.5008747,,,,,
,510,2450730393,,-0.1040210,51.5008962,,,,,
,511,1827316587,,-0.1012624,51.5007230,,,,,
,512,270420390,,-0.1026271,51.4998265,,,,,
,513,25497717,,-0.1021901,51.4994724,,,,,
,514,6090738928,,-0.1016618,51.4989723,,,,,
,515,25497661,,-0.1015932,51.4997186,,,,,
,516,4930891265,,-0.1022499,51.5006727,,,,,
,517,25497652,,-0.1015323,51.5009996,,,,,
,518,25497651,,-0.1011032,51.5012100,,,,,
,519,25497647,,-0.1023048,51.5021249,,,,,
,520,25498986,,-0.0963448,51.5001726,,,,,
,521,496206916,,-0.0972010,51.4992276,,,,,
