o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
6,A6,21,C1,1.7302073004448961,"LINESTRING (13.2069026 52.555611,13.1837045 52.5465474)"
6,A6,22,C2,1.465748715041382,"LINESTRING (13.2069026 52.555611,13.1876311 52.5470216)"
6,A6,23,C3,1.1715073613046234,"LINESTRING (13.2069026 52.555611,13.1922758 52.5472185)"
6,A6,24,C4,0.8397534016703664,"LINESTRING (13.2069026 52.555611,13.1978552 52.5475945)"
6,A6,25,C5,0.6558048157883366,"LINESTRING (13.2069026 52.555611,13.2023174 52.5473592)"
6,A6,26,C6,0.5296954459448079,"LINESTRING (13.2069026 52.555611,13.207515 52.5480108)"
6,A6,27,C7,0.6073930668540312,"LINESTRING (13.2069026 52.555611,13.2116045 52.5482397)"
6,A6,28,C8,0.9270377558912357,"LINESTRING (13.2069026 52.555611,13.2182015 52.548511)"
6,A6,29,C9,1.21532599376286,"LINESTRING (13.2069026 52.555611,13.2225432 52.5477739)"
6,A6,30,C10,1.429892954299785,"LINESTRING (13.2069026 52.555611,13.2256429 52.5470988)"
6,A6,31,D1,1.8222560307546467,"LINESTRING (13.2069026 52.555611,13.1840595 52.5427174)"
6,A6,32,D2,1.6112750018573834,"LINESTRING (13.2069026 52.555611,13.1872463 52.5432992)"
6,A6,33,D3,1.340653349911579,"LINESTRING (13.2069026 52.555611,13.1927723 52.5424672)"
6,A6,34,D4,1.094968843624167,"LINESTRING (13.2069026 52.555611,13.1979796 52.5426182)"
6,A6,35,D5,0.9240379898742879,"LINESTRING (13.2069026 52.555611,13.2025417 52.543045)"
6,A6,36,D6,0.856485490215158,"LINESTRING (13.2069026 52.555611,13.2071003 52.5432838)"
6,A6,37,D7,1.0321380306409087,"LINESTRING (13.2069026 52.555611,13.2124087 52.5418116)"
6,A6,38,D8,1.2946128417439478,"LINESTRING (13.2069026 52.555611,13.21772 52.5404364)"
6,A6,39,D9,1.4470257109519784,"LINESTRING (13.2069026 52.555611,13.2226372 52.5419621)"
6,A6,40,D10,1.601803765489254,"LINESTRING (13.2069026 52.555611,13.2256983 52.5422555)"
7,A7,1,A1,1.940704349594928,"LINESTRING (13.2122995 52.5556031,13.184365 52.5558743)"
7,A7,2,A2,1.624533430035724,"LINESTRING (13.2122995 52.5556031,13.1889152 52.5554778)"
7,A7,3,A3,1.3485512132798685,"LINESTRING (13.2122995 52.5556031,13.1928876 52.5555907)"
7,A7,4,A4,1.0187811630126464,"LINESTRING (13.2122995 52.5556031,13.1976345 52.5556169)"
7,A7,5,A5,0.6715853936494289,"LINESTRING (13.2122995 52.5556031,13.2026323 52.555621)"
7,A7,6,A6,0.3749248192666365,"LINESTRING (13.2122995 52.5556031,13.2069026 52.555611)"
7,A7,7,A7,0.0,"LINESTRING (13.2122995 52.5556031,13.2122995 52.5556031)"
7,A7,8,A8,0.3759662751235318,"LINESTRING (13.2122995 52.5556031,13.2177111 52.555538)"
7,A7,9,A9,0.6550906146065587,"LINESTRING (13.2122995 52.5556031,13.2217235 52.5552714)"
7,A7,10,A10,0.9288023104542485,"LINESTRING (13.2122995 52.5556031,13.2256692 52.5556722)"
7,A7,11,B1,1.9960209333191135,"LINESTRING (13.2122995 52.5556031,13.1838823 52.5513612)"
7,A7,12,B2,1.7235949669318433,"LINESTRING (13.2122995 52.5556031,13.1877558 52.5519738)"
7,A7,13,B3,1.348611883069003,"LINESTRING (13.2122995 52.5556031,13.1931628 52.5523402)"
7,A7,14,B4,1.0579537668916463,"LINESTRING (13.2122995 52.5556031,13.1975354 52.5518695)"
7,A7,15,B5,0.7643567118964135,"LINESTRING (13.2122995 52.5556031,13.2020792 52.5515283)"
7,A7,16,B6,0.36656549681017014,"LINESTRING (13.2122995 52.5556031,13.2082298 52.5522446)"
7,A7,17,B7,0.20246535920485723,"LINESTRING (13.2122995 52.5556031,13.2119786 52.5527064)"
7,A7,18,B8,0.41202173416327886,"LINESTRING (13.2122995 52.5556031,13.2171456 52.5521837)"
7,A7,19,B9,0.6917239554921866,"LINESTRING (13.2122995 52.5556031,13.2221629 52.5542396)"
7,A7,20,B10,0.9547679664728678,"LINESTRING (13.2122995 52.5556031,13.225601 52.5521452)"
7,A7,21,C1,2.083728405040628,"LINESTRING (13.2122995 52.5556031,13.1837045 52.5465474)"
7,A7,22,C2,1.8144469713367941,"LINESTRING (13.2122995 52.5556031,13.1876311 52.5470216)"
7,A7,23,C3,1.5080753507621552,"LINESTRING (13.2122995 52.5556031,13.1922758 52.5472185)"
7,A7,24,C4,1.1473599114666835,"LINESTRING (13.2122995 52.5556031,13.1978552 52.5475945)"
7,A7,25,C5,0.8993697950031826,"LINESTRING (13.2122995 52.5556031,13.2023174 52.5473592)"
